zone,mat_id,name,nb_blocs,coverage_pct
A,3,mat_3,8058,21.76
A,2,mat_2,5495,14.84
A,4,mat_4,3913,10.57
A,0,mat_0,3332,9.00
A,41,mat_41,2836,7.66
A,20,mat_20,1870,5.05
A,12,mat_12,1740,4.70
A,9,mat_9,1474,3.98
A,8,mat_8,1378,3.72
A,29,mat_29,900,2.43
A,11,mat_11,690,1.86
A,32,mat_32,647,1.75
A,5,mat_5,607,1.64
A,7,mat_7,474,1.28
A,6,mat_6,438,1.18
A,30,mat_30,387,1.05
A,31,mat_31,370,1.00
A,13,mat_13,369,1.00
A,14,mat_14,327,0.88
A,23,mat_23,249,0.67
A,33,mat_33,219,0.59
A,22,mat_22,196,0.53
A,19,mat_19,174,0.47
A,15,mat_15,159,0.43
A,17,mat_17,99,0.27
A,26,mat_26,98,0.26
A,16,mat_16,93,0.25
A,25,mat_25,92,0.25
A,28,mat_28,85,0.23
A,10,mat_10,82,0.22
A,54,mat_54,74,0.20
A,18,mat_18,41,0.11
A,27,mat_27,27,0.07
A,21,mat_21,16,0.04
A,34,mat_34,6,0.02
A,51,mat_51,4,0.01
A,52,mat_52,2,0.01
A,53,mat_53,2,0.01
A,24,mat_24,2,0.01
B,41,mat_41,2856,35.36
B,3,mat_3,1404,17.38
B,2,mat_2,1086,13.45
B,0,mat_0,807,9.99
B,7,mat_7,461,5.71
B,8,mat_8,332,4.11
B,12,mat_12,286,3.54
B,20,mat_20,205,2.54
B,29,mat_29,90,1.11
B,13,mat_13,84,1.04
B,4,mat_4,62,0.77
B,16,mat_16,42,0.52
B,9,mat_9,40,0.50
B,32,mat_32,35,0.43
B,5,mat_5,34,0.42
B,10,mat_10,31,0.38
B,30,mat_30,30,0.37
B,17,mat_17,28,0.35
B,31,mat_31,28,0.35
B,6,mat_6,21,0.26
B,18,mat_18,16,0.20
B,53,mat_53,16,0.20
B,22,mat_22,14,0.17
B,14,mat_14,14,0.17
B,19,mat_19,12,0.15
B,15,mat_15,11,0.14
B,33,mat_33,9,0.11
B,52,mat_52,5,0.06
B,11,mat_11,3,0.04
B,51,mat_51,3,0.04
B,26,mat_26,3,0.04
B,21,mat_21,3,0.04
B,23,mat_23,2,0.02
B,36,mat_36,2,0.02
B,40,mat_40,1,0.01
B,28,mat_28,1,0.01
