================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 16:59:13
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[16:59:13] +   0.1s | RAM: 15.18/27.65 GB ( 54.9%) | VRAM: N/A
[16:59:14] +   1.1s | RAM: 15.19/27.65 GB ( 54.9%) | VRAM: N/A
[16:59:15] +   2.1s | RAM: 15.22/27.65 GB ( 55.0%) | VRAM: N/A
[16:59:16] +   3.1s | RAM: 15.14/27.65 GB ( 54.8%) | VRAM: N/A
[16:59:17] +   4.2s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:18] +   5.2s | RAM: 15.14/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:19] +   6.2s | RAM: 15.01/27.65 GB ( 54.3%) | VRAM: N/A
[16:59:20] +   7.2s | RAM: 14.99/27.65 GB ( 54.2%) | VRAM: N/A
[16:59:21] +   8.2s | RAM: 14.97/27.65 GB ( 54.1%) | VRAM: N/A
[16:59:22] +   9.2s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:23] +  10.2s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:24] +  11.3s | RAM: 14.89/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:25] +  12.3s | RAM: 14.88/27.65 GB ( 53.8%) | VRAM: N/A
[16:59:26] +  13.3s | RAM: 14.89/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:27] +  14.3s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:28] +  15.3s | RAM: 15.06/27.65 GB ( 54.5%) | VRAM: N/A
[16:59:29] +  16.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:30] +  17.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:31] +  18.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:32] +  19.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:33] +  20.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:34] +  21.4s | RAM: 14.93/27.65 GB ( 54.0%) | VRAM: N/A
[16:59:35] +  22.4s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:36] +  23.5s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:37] +  24.5s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:38] +  25.5s | RAM: 14.89/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:39] +  26.5s | RAM: 14.89/27.65 GB ( 53.9%) | VRAM: N/A
[16:59:40] +  27.5s | RAM: 15.05/27.65 GB ( 54.4%) | VRAM: N/A
[16:59:42] +  28.6s | RAM: 15.11/27.65 GB ( 54.6%) | VRAM: N/A
[16:59:43] +  29.6s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:44] +  30.6s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:45] +  31.6s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:46] +  32.7s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:47] +  33.7s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:48] +  34.7s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:49] +  35.7s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:50] +  36.8s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:51] +  37.8s | RAM: 15.11/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:52] +  38.8s | RAM: 15.11/27.65 GB ( 54.6%) | VRAM: N/A
[16:59:53] +  39.8s | RAM: 15.11/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:54] +  40.9s | RAM: 15.26/27.65 GB ( 55.2%) | VRAM: N/A
[16:59:55] +  41.9s | RAM: 15.10/27.65 GB ( 54.6%) | VRAM: N/A
[16:59:56] +  42.9s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:57] +  43.9s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:58] +  44.9s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[16:59:59] +  45.9s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:00] +  47.0s | RAM: 15.29/27.65 GB ( 55.3%) | VRAM: N/A
[17:00:01] +  48.0s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:02] +  49.0s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:03] +  50.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:04] +  51.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:05] +  52.0s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:06] +  53.1s | RAM: 15.02/27.65 GB ( 54.3%) | VRAM: N/A
[17:00:07] +  54.1s | RAM: 14.99/27.65 GB ( 54.2%) | VRAM: N/A
[17:00:08] +  55.1s | RAM: 15.00/27.65 GB ( 54.3%) | VRAM: N/A
[17:00:09] +  56.1s | RAM: 15.01/27.65 GB ( 54.3%) | VRAM: N/A
[17:00:10] +  57.2s | RAM: 15.01/27.65 GB ( 54.3%) | VRAM: N/A
[17:00:11] +  58.2s | RAM: 14.94/27.65 GB ( 54.0%) | VRAM: N/A
[17:00:12] +  59.2s | RAM: 14.83/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:13] +  60.2s | RAM: 14.82/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:14] +  61.3s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:15] +  62.3s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:16] +  63.3s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:17] +  64.3s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:18] +  65.4s | RAM: 14.82/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:19] +  66.4s | RAM: 14.97/27.65 GB ( 54.2%) | VRAM: N/A
[17:00:20] +  67.4s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:21] +  68.4s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:22] +  69.4s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[17:00:23] +  70.4s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[17:00:24] +  71.5s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[17:00:25] +  72.5s | RAM: 14.97/27.65 GB ( 54.1%) | VRAM: N/A
[17:00:26] +  73.5s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[17:00:27] +  74.5s | RAM: 14.86/27.65 GB ( 53.7%) | VRAM: N/A
[17:00:28] +  75.5s | RAM: 14.87/27.65 GB ( 53.8%) | VRAM: N/A
[17:00:30] +  76.5s | RAM: 14.86/27.65 GB ( 53.8%) | VRAM: N/A
[17:00:31] +  77.6s | RAM: 14.88/27.65 GB ( 53.8%) | VRAM: N/A
[17:00:32] +  78.6s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[17:00:33] +  79.6s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[17:00:34] +  80.6s | RAM: 14.86/27.65 GB ( 53.7%) | VRAM: N/A
[17:00:35] +  81.7s | RAM: 14.87/27.65 GB ( 53.8%) | VRAM: N/A
[17:00:36] +  82.7s | RAM: 14.85/27.65 GB ( 53.7%) | VRAM: N/A
[17:00:37] +  83.7s | RAM: 14.86/27.65 GB ( 53.8%) | VRAM: N/A
[17:00:38] +  84.8s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[17:00:39] +  85.8s | RAM: 15.44/27.65 GB ( 55.9%) | VRAM: N/A
[17:00:40] +  86.8s | RAM: 15.86/27.65 GB ( 57.4%) | VRAM: N/A
[17:00:41] +  88.0s | RAM: 15.94/27.65 GB ( 57.7%) | VRAM: N/A
[17:00:44] +  90.6s | RAM: 18.27/27.65 GB ( 66.1%) | VRAM: N/A
[17:00:45] +  91.6s | RAM: 19.87/27.65 GB ( 71.9%) | VRAM: N/A
[17:00:46] +  92.7s | RAM: 21.48/27.65 GB ( 77.7%) | VRAM: N/A
[17:00:47] +  93.7s | RAM: 22.54/27.65 GB ( 81.5%) | VRAM: N/A
[17:00:48] +  94.7s | RAM: 23.11/27.65 GB ( 83.6%) | VRAM: N/A
[17:00:49] +  95.7s | RAM: 15.32/27.65 GB ( 55.4%) | VRAM: N/A
[17:00:50] +  96.8s | RAM: 15.34/27.65 GB ( 55.5%) | VRAM: N/A
[17:00:51] +  97.8s | RAM: 15.34/27.65 GB ( 55.5%) | VRAM: N/A
[17:00:52] +  98.8s | RAM: 15.14/27.65 GB ( 54.8%) | VRAM: N/A
[17:00:53] +  99.8s | RAM: 15.16/27.65 GB ( 54.9%) | VRAM: N/A
[17:00:54] + 100.8s | RAM: 15.14/27.65 GB ( 54.8%) | VRAM: N/A
[17:00:55] + 101.8s | RAM: 15.11/27.65 GB ( 54.6%) | VRAM: N/A
[17:00:56] + 102.8s | RAM: 15.11/27.65 GB ( 54.6%) | VRAM: N/A
[17:00:57] + 103.8s | RAM: 15.11/27.65 GB ( 54.7%) | VRAM: N/A
[17:00:58] + 104.9s | RAM: 15.10/27.65 GB ( 54.6%) | VRAM: N/A
[17:00:59] + 105.9s | RAM: 15.17/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:00] + 106.9s | RAM: 15.18/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:01] + 107.9s | RAM: 15.19/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:02] + 109.0s | RAM: 15.18/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:03] + 110.0s | RAM: 15.18/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:04] + 111.0s | RAM: 15.21/27.65 GB ( 55.0%) | VRAM: N/A
[17:01:05] + 112.0s | RAM: 15.23/27.65 GB ( 55.1%) | VRAM: N/A
[17:01:06] + 113.1s | RAM: 15.42/27.65 GB ( 55.8%) | VRAM: N/A
[17:01:07] + 114.1s | RAM: 15.27/27.65 GB ( 55.2%) | VRAM: N/A
[17:01:08] + 115.1s | RAM: 15.30/27.65 GB ( 55.3%) | VRAM: N/A
[17:01:09] + 116.1s | RAM: 15.50/27.65 GB ( 56.1%) | VRAM: N/A
[17:01:10] + 117.1s | RAM: 15.77/27.65 GB ( 57.0%) | VRAM: N/A
[17:01:11] + 118.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[17:01:12] + 119.1s | RAM: 15.66/27.65 GB ( 56.7%) | VRAM: N/A
[17:01:13] + 120.2s | RAM: 15.50/27.65 GB ( 56.1%) | VRAM: N/A
[17:01:14] + 121.2s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[17:01:15] + 122.2s | RAM: 15.24/27.65 GB ( 55.1%) | VRAM: N/A
[17:01:16] + 123.2s | RAM: 15.19/27.65 GB ( 55.0%) | VRAM: N/A
