bx_global,by_global,tx,ty,tile_id,status,dominant_main,dominant_test,changes
0,0,0,0,0,DOM_CHANGÉ,Grass_03_default,SeaBed_01,Grass_03_default: 100.0% → 0.0% (-100.0%) | SeaBed_01: 0.0% → 100.0% (+100.0%)
0,1,0,0,0,DOM_CHANGÉ,MAT_128,SeaBed_01,Dirt_01: 2.9% → 0.0% (-2.9%) | MAT_128: 97.1% → 0.0% (-97.1%) | SeaBed_01: 0.0% → 100.0% (+100.0%)
0,2,0,0,0,DOM_CHANGÉ,MAT_256,SeaBed_01,MAT_256: 19.7% → 0.0% (-19.7%) | SeaBed_01: 0.0% → 100.0% (+100.0%)
0,3,0,0,0,DOM_CHANGÉ,MAT_384,SeaBed_01,MAT_384: 64.7% → 0.0% (-64.7%) | SeaBed_01: 28.2% → 100.0% (+71.8%)
0,4,0,1,32,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_512: 6.6% → 0.0% (-6.6%) | SeaBed_01: 93.4% → 100.0% (+6.6%)
0,6,0,1,32,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_768: 38.5% → 0.0% (-38.5%) | SeaBed_01: 61.4% → 100.0% (+38.6%)
0,7,0,1,32,DOM_CHANGÉ,MAT_896,SeaBed_01,MAT_896: 84.0% → 0.0% (-84.0%) | SeaBed_01: 15.9% → 100.0% (+84.1%)
0,8,0,2,64,DOM_CHANGÉ,MAT_1024,SeaBed_01,MAT_1024: 66.0% → 0.0% (-66.0%) | SeaBed_01: 33.9% → 100.0% (+66.1%)
0,9,0,2,64,DOM_CHANGÉ,MAT_1152,SeaBed_01,MAT_1152: 67.7% → 0.0% (-67.7%) | SeaBed_01: 31.2% → 100.0% (+68.8%)
0,10,0,2,64,DOM_CHANGÉ,MAT_1280,SeaBed_01,MAT_1280: 65.9% → 0.0% (-65.9%) | SeaBed_01: 33.8% → 99.6% (+65.8%)
0,11,0,2,64,DOM_CHANGÉ,MAT_1408,SeaBed_01,MAT_1408: 59.5% → 0.0% (-59.5%) | SeaBed_01: 40.4% → 100.0% (+59.6%)
0,12,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1536: 47.9% → 0.0% (-47.9%) | SeaBed_01: 52.0% → 100.0% (+48.0%)
0,13,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1664: 36.9% → 0.0% (-36.9%) | SeaBed_01: 62.9% → 100.0% (+37.1%)
0,14,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1792: 34.4% → 0.0% (-34.4%) | SeaBed_01: 65.5% → 100.0% (+34.5%)
0,15,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1920: 34.2% → 0.0% (-34.2%) | SeaBed_01: 65.5% → 100.0% (+34.5%)
0,16,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2048: 24.1% → 0.0% (-24.1%) | SeaBed_01: 74.9% → 100.0% (+25.1%)
0,17,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2176: 22.2% → 0.0% (-22.2%) | SeaBed_01: 77.7% → 100.0% (+22.3%)
0,18,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2304: 27.6% → 0.0% (-27.6%) | SeaBed_01: 72.3% → 100.0% (+27.7%)
0,19,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2432: 40.0% → 0.0% (-40.0%) | SeaBed_01: 59.5% → 100.0% (+40.5%)
0,20,0,5,160,DOM_CHANGÉ,MAT_2560,SeaBed_01,MAT_2560: 48.9% → 0.0% (-48.9%) | SeaBed_01: 47.3% → 100.0% (+52.7%)
0,21,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2688: 49.3% → 0.0% (-49.3%) | SeaBed_01: 50.5% → 100.0% (+49.5%)
0,22,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2816: 42.2% → 0.0% (-42.2%) | SeaBed_01: 57.6% → 100.0% (+42.4%)
0,23,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2944: 33.2% → 0.0% (-33.2%) | SeaBed_01: 66.7% → 100.0% (+33.3%)
0,24,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3072: 26.9% → 0.0% (-26.9%) | SeaBed_01: 73.0% → 100.0% (+27.0%)
0,25,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3200: 23.2% → 0.0% (-23.2%) | SeaBed_01: 76.5% → 100.0% (+23.5%)
0,26,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3328: 20.2% → 0.0% (-20.2%) | SeaBed_01: 79.5% → 100.0% (+20.5%)
0,27,0,6,192,DOM_CHANGÉ,MAT_3456,SeaBed_01,MAT_3456: 78.3% → 0.0% (-78.3%) | SeaBed_01: 21.6% → 100.0% (+78.4%)
0,28,0,7,224,DOM_CHANGÉ,MAT_3584,SeaBed_01,MAT_3584: 100.0% → 0.0% (-100.0%) | SeaBed_01: 0.0% → 100.0% (+100.0%)
0,29,0,7,224,DOM_CHANGÉ,MAT_3712,SeaBed_01,MAT_3712: 99.2% → 0.0% (-99.2%) | SeaBed_01: 0.8% → 100.0% (+99.2%)
0,30,0,7,224,DOM_CHANGÉ,MAT_3840,SeaBed_01,MAT_3840: 99.1% → 0.0% (-99.1%) | SeaBed_01: 0.8% → 100.0% (+99.2%)
0,31,0,7,224,DOM_CHANGÉ,MAT_3968,SeaBed_01,MAT_3968: 75.8% → 0.0% (-75.8%) | SeaBed_01: 18.5% → 100.0% (+81.5%)
0,32,0,8,256,DOM_CHANGÉ,MAT_4096,SeaBed_01,MAT_4096: 62.3% → 0.0% (-62.3%) | SeaBed_01: 30.0% → 100.0% (+70.0%)
0,33,0,8,256,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_4224: 17.6% → 0.0% (-17.6%) | SeaBed_01: 75.1% → 100.0% (+24.9%)
0,34,0,8,256,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_4352: 26.1% → 0.0% (-26.1%) | SeaBed_01: 68.0% → 100.0% (+32.0%)
0,35,0,8,256,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_4480: 33.6% → 0.0% (-33.6%) | SeaBed_01: 65.1% → 100.0% (+34.9%)
0,36,0,9,288,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_4608: 32.2% → 0.0% (-32.2%) | SeaBed_01: 67.7% → 100.0% (+32.3%)
0,37,0,9,288,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_4736: 14.1% → 0.0% (-14.1%) | SeaBed_01: 85.8% → 100.0% (+14.2%)
0,45,0,11,352,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_5760: 17.0% → 0.0% (-17.0%) | SeaBed_01: 82.9% → 100.0% (+17.1%)
0,46,0,11,352,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_5888: 47.9% → 1.7% (-46.2%) | SeaBed_01: 52.0% → 94.3% (+42.3%)
0,47,0,11,352,DOM_CHANGÉ,MAT_6016,SeaBed_01,MAT_6016: 71.7% → 2.3% (-69.4%) | SeaBed_01: 28.1% → 68.1% (+40.0%)
0,48,0,12,384,DOM_CHANGÉ,MAT_6144,SeaBed_01,MAT_6144: 87.4% → 1.6% (-85.9%) | SeaBed_01: 11.6% → 55.4% (+43.8%)
0,49,0,12,384,DOM_CHANGÉ,MAT_6272,SeaBed_01,MAT_6272: 91.1% → 1.8% (-89.3%) | SeaBed_01: 2.4% → 57.2% (+54.8%)
0,50,0,12,384,DOM_CHANGÉ,MAT_6400,SeaBed_01,MAT_6400: 98.4% → 2.8% (-95.6%) | SeaBed_01: 0.0% → 71.5% (+71.5%)
0,51,0,12,384,DOM_CHANGÉ,MAT_6528,SeaBed_01,MAT_6528: 99.0% → 6.8% (-92.2%) | SeaBed_01: 0.8% → 50.6% (+49.8%)
0,52,0,13,416,DOM_CHANGÉ,MAT_6656,SeaBed_01,MAT_6656: 96.5% → 7.9% (-88.6%) | SeaBed_01: 3.3% → 41.6% (+38.3%)
0,53,0,13,416,DOM_CHANGÉ,Dirt_01,SeaBed_01,Dirt_01: 100.0% → 0.0% (-100.0%) | MAT_6784: 0.0% → 3.9% (+3.9%) | SeaBed_01: 0.0% → 79.9% (+79.9%)
0,54,0,13,416,DOM_CHANGÉ,MAT_6912,SeaBed_01,MAT_6912: 97.9% → 0.0% (-97.9%) | SeaBed_01: 1.5% → 99.9% (+98.3%)
0,55,0,13,416,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7040: 41.5% → 0.0% (-41.5%) | SeaBed_01: 55.5% → 100.0% (+44.5%)
0,56,0,14,448,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7168: 24.2% → 0.0% (-24.2%) | SeaBed_01: 75.8% → 100.0% (+24.2%)
0,57,0,14,448,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7296: 23.4% → 0.0% (-23.4%) | SeaBed_01: 76.5% → 100.0% (+23.5%)
0,58,0,14,448,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7424: 34.6% → 0.0% (-34.6%) | SeaBed_01: 65.2% → 100.0% (+34.8%)
0,59,0,14,448,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7552: 38.4% → 0.0% (-38.4%) | SeaBed_01: 61.2% → 100.0% (+38.8%)
0,60,0,15,480,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7680: 40.7% → 0.0% (-40.7%) | SeaBed_01: 58.7% → 100.0% (+41.3%)
0,61,0,15,480,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_7808: 44.6% → 0.0% (-44.6%) | SeaBed_01: 55.2% → 100.0% (+44.8%)
0,62,0,15,480,DOM_CHANGÉ,MAT_7936,SeaBed_01,MAT_7936: 48.0% → 0.0% (-48.0%) | SeaBed_01: 45.9% → 100.0% (+54.1%)
0,63,0,15,480,MODIFIÉ,MAT_8064,MAT_8064,MAT_8064: 48.8% → 94.2% (+45.4%) | SeaBed_01: 43.9% → 0.0% (-43.9%)
0,64,0,16,512,MODIFIÉ,MAT_8192,MAT_8192,MAT_8192: 47.9% → 92.2% (+44.2%) | SeaBed_01: 40.3% → 0.0% (-40.3%)
0,65,0,16,512,MODIFIÉ,MAT_8320,MAT_8320,MAT_8320: 60.5% → 99.9% (+39.5%) | SeaBed_01: 38.0% → 0.0% (-38.0%)
0,66,0,16,512,DOM_CHANGÉ,MAT_8448,SeaBed_01,MAT_8448: 64.5% → 0.0% (-64.5%) | SeaBed_01: 35.2% → 100.0% (+64.8%)
0,67,0,16,512,DOM_CHANGÉ,MAT_8576,SeaBed_01,MAT_8576: 72.1% → 0.0% (-72.1%) | SeaBed_01: 27.9% → 100.0% (+72.1%)
0,68,0,17,544,DOM_CHANGÉ,MAT_8704,SeaBed_01,MAT_8704: 76.7% → 0.0% (-76.7%) | SeaBed_01: 23.2% → 100.0% (+76.8%)
0,69,0,17,544,DOM_CHANGÉ,MAT_8832,SeaBed_01,MAT_8832: 85.3% → 0.0% (-85.3%) | SeaBed_01: 14.6% → 100.0% (+85.4%)
0,70,0,17,544,DOM_CHANGÉ,MAT_8960,SeaBed_01,MAT_8960: 92.3% → 0.0% (-92.3%) | SeaBed_01: 7.5% → 100.0% (+92.5%)
0,71,0,17,544,DOM_CHANGÉ,MAT_9088,SeaBed_01,MAT_9088: 89.6% → 0.5% (-89.1%) | SeaBed_01: 5.1% → 91.8% (+86.7%)
0,72,0,18,576,MODIFIÉ,MAT_9216,MAT_9216,MAT_9216: 60.4% → 71.1% (+10.7%) | SeaBed_01: 5.3% → 0.0% (-5.3%)
0,73,0,18,576,MODIFIÉ,MAT_9344,MAT_9344,MAT_9344: 57.7% → 72.0% (+14.3%) | SeaBed_01: 3.0% → 0.0% (-3.0%)
0,74,0,18,576,MODIFIÉ,MAT_9472,MAT_9472,MAT_9472: 70.9% → 90.0% (+19.0%)
0,75,0,18,576,DOM_CHANGÉ,MAT_9600,SeaBed_01,MAT_9600: 92.0% → 0.0% (-92.0%) | SeaBed_01: 6.2% → 100.0% (+93.8%)
0,76,0,19,608,DOM_CHANGÉ,MAT_9728,SeaBed_01,MAT_9728: 91.8% → 0.0% (-91.8%) | SeaBed_01: 7.5% → 100.0% (+92.5%)
0,77,0,19,608,DOM_CHANGÉ,MAT_9856,SeaBed_01,MAT_9856: 92.9% → 0.0% (-92.9%) | SeaBed_01: 6.3% → 100.0% (+93.7%)
0,78,0,19,608,DOM_CHANGÉ,MAT_9984,SeaBed_01,MAT_9984: 94.0% → 0.0% (-94.0%) | SeaBed_01: 5.2% → 100.0% (+94.8%)
0,79,0,19,608,DOM_CHANGÉ,MAT_10112,SeaBed_01,MAT_10112: 54.8% → 0.0% (-54.8%) | SeaBed_01: 37.9% → 100.0% (+62.1%)
0,81,0,20,640,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_10368: 9.1% → 0.0% (-9.1%) | SeaBed_01: 90.8% → 100.0% (+9.2%)
0,82,0,20,640,DOM_CHANGÉ,MAT_10496,SeaBed_01,MAT_10496: 74.4% → 0.0% (-74.4%) | SeaBed_01: 25.5% → 100.0% (+74.5%)
0,83,0,20,640,DOM_CHANGÉ,MAT_10624,SeaBed_01,MAT_10624: 99.2% → 0.0% (-99.2%) | SeaBed_01: 0.8% → 100.0% (+99.2%)
0,84,0,21,672,MODIFIÉ,MAT_10752,MAT_10752,MAT_10752: 94.2% → 96.3% (+2.1%) | SeaBed_01: 1.1% → 0.0% (-1.1%)
0,85,0,21,672,DOM_CHANGÉ,SeaBed_01,MAT_10880,MAT_10880: 3.4% → 91.4% (+88.0%) | SeaBed_01: 24.9% → 0.0% (-24.9%)
0,86,0,21,672,DOM_CHANGÉ,MAT_11008,SeaBed_01,MAT_11008: 74.7% → 0.0% (-74.7%) | SeaBed_01: 22.2% → 100.0% (+77.8%)
0,87,0,21,672,DOM_CHANGÉ,MAT_11136,SeaBed_01,MAT_11136: 72.6% → 0.0% (-72.6%) | SeaBed_01: 27.2% → 100.0% (+72.8%)
0,88,0,22,704,DOM_CHANGÉ,MAT_11264,SeaBed_01,MAT_11264: 62.9% → 0.0% (-62.9%) | SeaBed_01: 36.9% → 100.0% (+63.1%)
0,89,0,22,704,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_11392: 38.2% → 0.0% (-38.2%) | SeaBed_01: 61.1% → 100.0% (+38.9%)
0,98,0,24,768,MODIFIÉ,SeaBed_01,SeaBed_01,SeaBed_01: 97.8% → 100.0% (+2.2%)
0,99,0,24,768,MODIFIÉ,SeaBed_01,SeaBed_01,SeaBed_01: 97.1% → 100.0% (+2.9%)
