tx,ty,tile_id,bx_global,by_global,dominant_texture,dominant_pct,n_textures,tex_1,pct_1,tex_2,pct_2
0,0,0,0,0,Grass_03_default,99.99,1,Grass_03_default,99.99,,
0,0,0,1,0,SeaBed_01,77.27,2,SeaBed_01,77.27,Dirt_01,22.73
0,0,0,2,0,Dirt_01,59.04,1,Dirt_01,59.04,,
0,0,0,3,0,Grass_03,62.63,2,Grass_03,62.63,SeaBed_01,24.05
0,0,0,0,1,MAT_128,97.13,2,MAT_128,97.13,Dirt_01,2.87
0,0,0,1,1,Dirt_01,92.49,2,Dirt_01,92.49,MAT_129,7.51
0,0,0,2,1,Dirt_01,100.0,1,Dirt_01,100.0,,
0,0,0,3,1,Dirt_01,99.56,1,Dirt_01,99.56,,
0,0,0,0,2,MAT_256,19.71,1,MAT_256,19.71,,
0,0,0,1,2,Dirt_01,87.76,2,Dirt_01,87.76,MAT_257,12.24
0,0,0,2,2,Dirt_01,99.91,1,Dirt_01,99.91,,
0,0,0,3,2,Dirt_01,98.41,2,Dirt_01,98.41,MAT_259,1.59
0,0,0,0,3,MAT_384,64.71,2,MAT_384,64.71,SeaBed_01,28.2
0,0,0,1,3,MAT_385,98.03,1,MAT_385,98.03,,
0,0,0,2,3,Dirt_01,100.0,1,Dirt_01,100.0,,
0,0,0,3,3,Dirt_01,90.02,2,Dirt_01,90.02,MAT_387,9.98
1,0,1,4,0,SeaBed_01,90.67,2,SeaBed_01,90.67,ForestDeciduous_02,0.97
1,0,1,5,0,SeaBed_01,78.54,2,SeaBed_01,78.54,Crop_Field_01,21.15
1,0,1,6,0,SeaBed_01,63.6,2,SeaBed_01,63.6,Crop_Field_02,26.61
1,0,1,7,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,
1,0,1,4,1,MAT_132,97.99,2,MAT_132,97.99,SeaBed_01,0.7
1,0,1,5,1,MAT_133,94.93,1,MAT_133,94.93,,
1,0,1,6,1,MAT_134,94.11,1,MAT_134,94.11,,
1,0,1,7,1,MAT_135,95.24,2,MAT_135,95.24,SeaBed_01,0.78
