tx,ty,tile_id,bx_global,by_global,dominant_texture,dominant_pct,n_textures,tex_1,pct_1,tex_2,pct_2,tex_3,pct_3,tex_4,pct_4,tex_5,pct_5,tex_6,pct_6,tex_7,pct_7
0,0,0,0,0,Rock_01,99.99,1,Rock_01,99.99,,,,,,,,,,,,
0,0,0,1,0,Rock_01,77.27,2,Rock_01,77.27,Dirt_01,22.73,,,,,,,,,,
0,0,0,2,0,Rock_01,59.04,2,Rock_01,59.04,Dirt_01,40.96,,,,,,,,,,
0,0,0,3,0,Dirt_01,62.63,3,Dirt_01,62.63,SeaBed_01,24.05,Rock_01,13.32,,,,,,,,
0,0,0,0,1,Rock_01,97.13,2,Rock_01,97.13,Dirt_01,2.87,,,,,,,,,,
0,0,0,1,1,Dirt_01,92.49,2,Dirt_01,92.49,Rock_01,7.51,,,,,,,,,,
0,0,0,2,1,Dirt_01,100.0,1,Dirt_01,100.0,,,,,,,,,,,,
0,0,0,3,1,Dirt_01,99.56,1,Dirt_01,99.56,,,,,,,,,,,,
0,0,0,0,2,Rock_01,79.85,2,Rock_01,79.85,Dirt_01,19.71,,,,,,,,,,
0,0,0,1,2,Dirt_01,87.76,2,Dirt_01,87.76,Rock_01,12.24,,,,,,,,,,
0,0,0,2,2,Dirt_01,99.91,1,Dirt_01,99.91,,,,,,,,,,,,
0,0,0,3,2,Dirt_01,98.41,2,Dirt_01,98.41,Rock_01,1.59,,,,,,,,,,
0,0,0,0,3,Dirt_01,64.71,3,Dirt_01,64.71,SeaBed_01,28.2,Rock_01,7.09,,,,,,,,
0,0,0,1,3,Dirt_01,98.03,2,Dirt_01,98.03,Rock_01,1.95,,,,,,,,,,
0,0,0,2,3,Dirt_01,100.0,1,Dirt_01,100.0,,,,,,,,,,,,
0,0,0,3,3,Dirt_01,90.02,2,Dirt_01,90.02,Rock_01,9.98,,,,,,,,,,
1,0,1,4,0,SeaBed_01,90.67,3,SeaBed_01,90.67,Rock_01,8.36,Dirt_01,0.97,,,,,,,,
1,0,1,5,0,SeaBed_01,78.54,2,SeaBed_01,78.54,Dirt_01,21.15,,,,,,,,,,
1,0,1,6,0,SeaBed_01,63.6,4,SeaBed_01,63.6,Dirt_01,26.61,Pebbles_01,5.53,Rock_01,4.25,,,,,,
1,0,1,7,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
1,0,1,4,1,Dirt_01,97.99,3,Dirt_01,97.99,Rock_01,1.31,SeaBed_01,0.7,,,,,,,,
1,0,1,5,1,Dirt_01,94.93,2,Dirt_01,94.93,Rock_01,4.84,,,,,,,,,,
1,0,1,6,1,Dirt_01,94.11,2,Dirt_01,94.11,Rock_01,5.61,,,,,,,,,,
1,0,1,7,1,Dirt_01,95.24,4,Dirt_01,95.24,Grass_03,3.29,SeaBed_01,0.78,Rock_01,0.7,,,,,,
1,0,1,4,2,Dirt_01,85.66,2,Dirt_01,85.66,Rock_01,14.34,,,,,,,,,,
1,0,1,5,2,Dirt_01,79.96,3,Dirt_01,79.96,Rock_01,17.82,Grass_03,2.23,,,,,,,,
1,0,1,6,2,Dirt_01,87.84,3,Dirt_01,87.84,Grass_03,11.32,Rock_01,0.84,,,,,,,,
1,0,1,7,2,Dirt_01,82.06,2,Dirt_01,82.06,Grass_03,17.94,,,,,,,,,,
1,0,1,4,3,Dirt_01,78.44,3,Dirt_01,78.44,Rock_01,16.19,Grass_03,5.37,,,,,,,,
1,0,1,5,3,Dirt_01,80.38,3,Dirt_01,80.38,Grass_03,17.74,Rock_01,1.88,,,,,,,,
