bx_global,by_global,tx,ty,tile_id,status,dominant_main,dominant_test,changes,zone_b
0,0,0,0,0,DOM_CHANGÉ,Grass_03_default,SeaBed_01,Grass_03_default: 100.0% → 0.0% (-100.0%) | SeaBed_01: 0.0% → 100.0% (+100.0%),1
0,1,0,0,0,DOM_CHANGÉ,MAT_128,SeaBed_01,Dirt_01: 2.9% → 0.0% (-2.9%) | MAT_128: 97.1% → 0.0% (-97.1%) | SeaBed_01: 0.0% → 100.0% (+100.0%),1
0,2,0,0,0,DOM_CHANGÉ,MAT_256,SeaBed_01,MAT_256: 19.7% → 0.0% (-19.7%) | SeaBed_01: 0.0% → 100.0% (+100.0%),1
0,3,0,0,0,DOM_CHANGÉ,MAT_384,SeaBed_01,MAT_384: 64.7% → 0.0% (-64.7%) | SeaBed_01: 28.2% → 100.0% (+71.8%),1
0,4,0,1,32,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_512: 6.6% → 0.0% (-6.6%) | SeaBed_01: 93.4% → 100.0% (+6.6%),1
0,6,0,1,32,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_768: 38.5% → 0.0% (-38.5%) | SeaBed_01: 61.4% → 100.0% (+38.6%),1
0,7,0,1,32,DOM_CHANGÉ,MAT_896,SeaBed_01,MAT_896: 84.0% → 0.0% (-84.0%) | SeaBed_01: 15.9% → 100.0% (+84.1%),1
0,12,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1536: 47.9% → 0.0% (-47.9%) | SeaBed_01: 52.0% → 100.0% (+48.0%),1
0,13,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1664: 36.9% → 0.0% (-36.9%) | SeaBed_01: 62.9% → 100.0% (+37.1%),1
0,14,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1792: 34.4% → 0.0% (-34.4%) | SeaBed_01: 65.5% → 100.0% (+34.5%),1
0,15,0,3,96,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_1920: 34.2% → 0.0% (-34.2%) | SeaBed_01: 65.5% → 100.0% (+34.5%),1
0,16,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2048: 24.1% → 0.0% (-24.1%) | SeaBed_01: 74.9% → 100.0% (+25.1%),1
0,17,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2176: 22.2% → 0.0% (-22.2%) | SeaBed_01: 77.7% → 100.0% (+22.3%),1
0,18,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2304: 27.6% → 0.0% (-27.6%) | SeaBed_01: 72.3% → 100.0% (+27.7%),1
0,19,0,4,128,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2432: 40.0% → 0.0% (-40.0%) | SeaBed_01: 59.5% → 100.0% (+40.5%),1
0,20,0,5,160,DOM_CHANGÉ,MAT_2560,SeaBed_01,MAT_2560: 48.9% → 0.0% (-48.9%) | SeaBed_01: 47.3% → 100.0% (+52.7%),1
0,21,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2688: 49.3% → 0.0% (-49.3%) | SeaBed_01: 50.5% → 100.0% (+49.5%),1
0,22,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2816: 42.2% → 0.0% (-42.2%) | SeaBed_01: 57.6% → 100.0% (+42.4%),1
0,23,0,5,160,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_2944: 33.2% → 0.0% (-33.2%) | SeaBed_01: 66.7% → 100.0% (+33.3%),1
0,24,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3072: 26.9% → 0.0% (-26.9%) | SeaBed_01: 73.0% → 100.0% (+27.0%),1
0,25,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3200: 23.2% → 0.0% (-23.2%) | SeaBed_01: 76.5% → 100.0% (+23.5%),1
0,26,0,6,192,MODIFIÉ,SeaBed_01,SeaBed_01,MAT_3328: 20.2% → 0.0% (-20.2%) | SeaBed_01: 79.5% → 100.0% (+20.5%),1
0,27,0,6,192,DOM_CHANGÉ,MAT_3456,SeaBed_01,MAT_3456: 78.3% → 0.0% (-78.3%) | SeaBed_01: 21.6% → 100.0% (+78.4%),1
0,72,0,18,576,MODIFIÉ,MAT_9216,MAT_9216,MAT_9216: 60.4% → 71.1% (+10.7%) | SeaBed_01: 5.3% → 0.0% (-5.3%),1
0,73,0,18,576,MODIFIÉ,MAT_9344,MAT_9344,MAT_9344: 57.7% → 72.0% (+14.3%) | SeaBed_01: 3.0% → 0.0% (-3.0%),1
0,74,0,18,576,MODIFIÉ,MAT_9472,MAT_9472,MAT_9472: 70.9% → 90.0% (+19.0%),1
0,75,0,18,576,DOM_CHANGÉ,MAT_9600,SeaBed_01,MAT_9600: 92.0% → 0.0% (-92.0%) | SeaBed_01: 6.2% → 100.0% (+93.8%),1
0,76,0,19,608,DOM_CHANGÉ,MAT_9728,SeaBed_01,MAT_9728: 91.8% → 0.0% (-91.8%) | SeaBed_01: 7.5% → 100.0% (+92.5%),1
0,77,0,19,608,DOM_CHANGÉ,MAT_9856,SeaBed_01,MAT_9856: 92.9% → 0.0% (-92.9%) | SeaBed_01: 6.3% → 100.0% (+93.7%),1
